Feature,Mean_SHAP
T_K,0.06908092330349261
RHO_kgm-3,0.011376212823927557
velocity_mag,0.0015153557379080944
UX_ms-1,0.0003293369909258355
P_Pa,8.081587111415307e-05
Y,6.922796747575896e-05
theta,1.0931478932055716e-05
log_radius,7.3138278747860486e-06
X,5.0407310171359565e-06
radius,4.994368796716593e-06
UY_ms-1,2.7536040689289153e-06
snapshot,2.7529427315998315e-06
