,count,mean,std,min,25%,50%,75%,max
X,502500.0,0.0012346686562523246,0.0007236660458147526,7.81249980263965e-07,0.0006132812704890966,0.0012039062567055225,0.001850781263783574,0.002499218797311187
Y,502500.0,-1.1754002571251476e-06,0.0008750484557822347,-0.001499249949119985,-0.0007511250441893935,1.049999991664663e-05,0.0007541249506175518,0.001499249949119985
RHO_kgm-3,502500.0,0.2774046063423157,0.08449400961399078,0.0756712406873703,0.3182859718799591,0.31930840015411377,0.3200089633464813,0.32313624024391174
UX_ms-1,502500.0,50.50513458251953,59.30455017089844,-64.554443359375,31.66770362854004,33.601444244384766,35.83671569824219,489.2400817871094
UY_ms-1,502500.0,0.011670867912471294,11.351886749267578,-125.73776245117188,-1.2331044673919678,0.008466975763440132,1.2698746919631958,140.43739318847656
P_Pa,502500.0,101352.921875,429.3381042480469,98190.1328125,101093.1640625,101332.015625,101608.5703125,103379.6171875
T_K,502500.0,1151.7384033203125,369.7599182128906,397.9852294921875,1099.3179931640625,1100.092041015625,1101.14306640625,2793.53857421875
YH2,502500.0,0.04647519439458847,0.14427635073661804,0.0,5.945747404743073e-33,1.6733666327391921e-15,7.1434833444072865e-06,0.6508134007453918
velocity_mag,502500.0,51.36738204956055,59.64943313598633,0.015622087754309177,31.80061149597168,33.70014190673828,36.049354553222656,489.2401428222656
radius,502500.0,0.001554509624838829,0.0006303242407739162,4.613119381247088e-05,0.0010936285834759474,0.0015354033093899488,0.0020719922613352537,0.002891198033466935
theta,502500.0,0.00850768480449915,0.7482186555862427,-1.5691044330596924,-0.5570783019065857,0.009306242689490318,0.5717344284057617,1.570115089416504
log_radius,502500.0,0.0015531046083196998,0.0006293647456914186,4.6130127884680405e-05,0.0010930310236290097,0.0015342256519943476,0.0020698485895991325,0.0028870266396552324
snapshot,502500.0,100.0,58.02304168616259,0.0,50.0,100.0,150.0,200.0
