Feature,Importance
T_K,0.9895009044691351
RHO_kgm-3,0.01015627994600651
velocity_mag,0.00025621777041828975
UX_ms-1,5.030137754583533e-05
P_Pa,2.1617962945961183e-05
Y,7.0877546542476896e-06
theta,3.193360713414469e-06
UY_ms-1,1.1106371883065669e-06
log_radius,9.353919673296921e-07
X,9.229263798188609e-07
radius,7.961116818319382e-07
snapshot,6.322913633247531e-07
